name,id,type,ba,tph,mcs,osi,cc,c1,c2to4,c5to9,c10to14,c15to29,c30to35,aet,cwd,tmn
3,27,0,20.9408,150.101,1,0,0.650114,1,0,0,0,0,0,507.992,667.795,7
3,2021,2,18.0671,188.893,1,0,0.663465,1,0,0,0,0,0,508.25,668.25,7
3,1427,3,11.1064,153.336,1,0,0.629139,1,0,0,0,0,0,502.6,667.6,7
3,144,3,37.9221,133.336,1,0,0.756327,1,0,0,0,0,0,505,663,7
3,1463,1,15.8534,146.474,1,0.0669569,0.542908,1,0,0,0,0,0,504.688,671.811,7
3,1811,3,5.58309,186.67,1,0,0.259399,1,0,0,0,0,0,496.4,692.4,7
3,1700,3,2.80854,135.188,1,0,0.136324,1,0,0,0,0,0,460,733,7
3,441,3,18.3768,150.003,1,0,0.62268,1,0,0,0,0,0,512,658,7
3,2062,1,18.4879,158.998,1,0,0.669706,1,0,0,0,0,0,513.107,673.179,7
3,2069,3,24.3578,115.558,1,0,0.711446,1,0,0,0,0,0,515,675,7
4,922,0,21.8627,145.72,1,0,0.615452,1,0,0,0,0,0,484.317,676.638,7
4,1387,0,32.2974,123.483,1,0,0.615886,1,0,0,0,0,0,525.075,660.566,7
4,511,1,31.7008,115.126,1,0,0.675743,1,0,0,0,0,0,507.583,657.583,7
4,712,1,12.6953,172.467,1,0,0.644365,1,0,0,0,0,0,431.652,720.217,7
4,2550,1,19.7177,134.785,1,0,0.511364,1,0,0,0,0,0,516.122,662.417,7
4,3354,2,21.6239,137.04,1,0,0.660685,1,0,0,0,0,0,496.167,654.5,7
4,1880,1,19.9778,166.783,1,0,0.627901,1,0,0,0,0,0,466.51,683.571,7
4,3457,1,12.0314,176.771,1,0,0.545859,1,0,0,0,0,0,500.091,656.182,7
4,3979,1,11.2114,162.937,1,0,0.698258,1,0,0,0,0,0,476.719,686.688,7
5,872,2,29.7019,150.98,4.329,0.192647,0.597518,0.294372,0.437229,0.180952,0.038961,0.0484848,0,459.376,639.082,5.83529
5,33,1,17.619,156.417,17.6462,2.57389,0.476203,0.263491,0.326267,0.13326,0.064152,0.0770925,0.135738,454.826,641.95,5.34109
5,427,3,25.7191,126.587,6.5627,0.519531,0.53149,0.407524,0.375392,0.112853,0.00940439,0.0783699,0.0164577,462,637.143,5.5
5,600,0,46.9954,114.705,2.33309,0.221422,0.609557,0.504501,0.380627,0.100108,0.00720202,0.00756212,0,458.372,649.48,5.74349
5,393,2,31.8868,134.04,4.09947,0.219318,0.551214,0.385833,0.425772,0.0957046,0.0324039,0.0339111,0.0263753,440.655,674.109,5.4
5,595,2,40.9993,118.774,3.01008,0.516972,0.577953,0.457661,0.389516,0.0995968,0.0181452,0.0350806,0,451.862,660.543,5.85345
5,523,0,40.6491,124.952,2.969,0.2475,0.574673,0.474593,0.344512,0.142276,0.00762195,0.0309959,0,457.154,643.623,5.86286
5,771,1,34.6658,141.184,5.86399,0.417799,0.556783,0.321642,0.366125,0.166809,0.0684346,0.0128315,0.0641574,460.63,631.543,5.66304
5,841,3,24.3857,125.875,3.37001,1.72603,0.492825,0.411125,0.385732,0.169287,0.00362757,0.0302297,0,456.973,656.219,5.76712
5,996,3,31.8275,128.601,3.2056,0.350694,0.538263,0.384,0.4368,0.1048,0.0448,0.0296,0,449.741,662.13,6
6,12,2,18.1416,100,1,0,0.420478,1,0,0,0,0,0,473,612,5
6,1429,0,29.396,136.481,3.69607,0.659375,0.45164,0.34464,0.41791,0.162822,0.0434193,0.0217096,0.00949796,395.033,730.617,6
6,1246,0,42.0956,147.521,3.82039,0.0490385,0.570446,0.376593,0.375435,0.136732,0.0637312,0.0475087,0,387.615,720.723,5
6,1389,2,28.8262,162.963,15.5741,1.76086,0.464678,0.255762,0.346351,0.184166,0.054204,0.0765045,0.0830132,378.152,716.441,5.01252
6,615,2,13.1574,151.8,6.56907,1.72975,0.336695,0.285567,0.336082,0.176289,0.0989691,0.0453608,0.057732,372.31,738.394,5
6,870,3,19.5283,129.246,4.67292,3.24425,0.35654,0.34585,0.386364,0.144269,0.0563241,0.0602767,0.006917,377.563,733.241,5
6,1067,0,42.2669,175.362,7.30579,0.0244565,0.588558,0.229568,0.358127,0.212121,0.0661157,0.0495868,0.0844812,422.029,660.942,4.44928
7,336,0,15.0348,149.469,4.45626,0.0843056,0.566528,0.326588,0.384158,0.184521,0.0617824,0.0304782,0.0124721,416.914,716.308,5
7,185,3,7.6099,169.902,4.5952,0.0039557,0.417754,0.261589,0.335265,0.315397,0.0645695,0.0165563,0.00662252,416.823,699.81,5
7,1496,0,12.4964,134.928,3.42651,0.54176,0.60501,0.342319,0.435007,0.179099,0.0313885,0.0121861,0,422.906,674.901,5.58296
